Id,Categoria,Subcategoria,Enllaç,Nom Producte,Preu,PreuBase,Ingredients,Valor Energètic Kj,Valor Energetic KC,Greixos,Hidrats,Sucre,Proteines,Sal,Fabricant,Valor Energètic KC
0,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-surtido-estuche-regalo-sin-azucar-vicens-pack-4-und/42109,Assorted Nougat Gift Box without Sugar Vicens (Pack 4 und),12.34,Not Available,"Duro: Almendra (60%), edulcorantes (maltitol, sorbitol, isomalt) y clara de huevo. Un consumo excesivo puede producir efectos laxantes. Sin azúcares añadidos, contiene azúcares naturalmente presentes. Puede contener trazas de otros frutos de cáscara. Blando: Almendra (64%), edulcorantes (maltitol y sorbitol) y clara de huevo. Un consumo excesivo puede producir efectos laxantes. Sin azúcares añadidos, contiene azúcares naturalmente presentes. Puede contener trazas de otros frutos de cáscara. Yema: Almendra (52%), edulcorantes (maltitol, sorbitol, isomalt), yema de huevo (3%), clara de huevo, conservador: sorbato potásico, vainilla, colorante natural: betacaroteno. Un consumo excesivo puede producir efectos laxantes. Sin azúcares añadidos, contiene azúcares naturalmente presentes. Puede contener trazas de otros frutos de cáscara. Chocolate con leche y almendras: Chocolate con leche (mín. 33.9% de cacao) (70%) [edulcorante: maltitol, manteca de cacao, leche entera en polvo, pasta de cacao, emulgente: lecitina de soja, aroma natural de vainilla], almendra (30%). Un consumo excesivo puede producir efectos laxantes. Sin azúcares añadidos, contiene azúcares naturalmente presentes. Puede contener trazas de otros frutos de cáscara.",2222,,34,8,39,3,16,"Torrons Vicens, S.L.",534
1,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-de-chocolate-blanco-crujiente-spar-250g/99984,Crunchy White Chocolate Nougat Spar 250g,1.99,"250 gr 7,96 € / kg.",Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-duro-cosecha-propia-el-almendro-300g/131590,Hard Nougat Own Harvest El Almendro 300g,11.99,"300 gr 39,97 € / kg.","ALMENDRA (70%) (España), miel (14,7%), azúcar, oblea [fécula de patata, aceite de girasol]. CLARA DE HUEVO.  Puede contener CACAHUETES, OTROS FRUTOS DE CÁSCARA.",2248,,36,2,34,30,7,Delaviuda Alimentación S.A.U.,541
3,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-nestle-jungly-232g/127808,Nestlé Jungly nougat 232g,2.99,Not Available,"Azúcar, grasas vegetales (palma, shea), galleta (11,8%) [harina de trigo, grasa de palma, azúcar, jarabe de glucosa, gasificantes (carbonatos de sodio y de amonio), sal, aroma], leche desnatada en polvo, manteca de cacao¹, leche, pasta de cacao¹, suero de leche en polvo, cacao desgrasado en polvo¹, grasa láctea anhidra, emulgente (lecitina de girasol), aromas naturales de vainilla. Puede contener frutos de cáscara. ¹Certificado Rainforest Alliance.",2255,,31,15,56,50,1,"Nestlé España, S.A.",540
4,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-blando-supremo-el-almendro-250g/57954, The Soft Almond Nougat Supreme Quality,4.99,"250 gr 19,96 € / kg.","ALMENDRAS tostadas (67%) (UE, No UE), miel (16,5%), azúcar, estabilizante (E471), CLARA DE HUEVO.  Puede contener CACAHUETES, OTROS FRUTOS DE CÁSCARA .",2315,,39,4,30,27,7,Delaviuda Alimentación S.A.U.,557
5,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-de-agramunt-de-avellana-vicens-300g/34944,Agramunt Nougat Hazelnut Vicens 300g,7.59,,Not Available,2214,,33,2,41,20,11,"Torrons Vicens, S.L.",532
6,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-de-yema-tostada-calidad-superior-spar-250g/99980,Roasted Yolk Nougat Superior Quality Spar 250g,2.75,Not Available,"ALMENDRA (40%), AZÚCAR ,YEMA DE HUEVO CONFITADA (23%): [YEMA DE HUEVO, AZÚCAR, JARABE DE GLUCOSA, CONSERVADOR (ÁCIDO SÓRBICO), ACIDULANTE (ÁCIDO CÍTRICO)], HUMECTANTE (SORBITOL), AGUA, NATA EN POLVO, CONSERVADOR (ÁCIDO SÓRBICO), AROMA (VAINILLINA). YEMA DE HUEVO FRESCA: 11%. PUEDE CONTENER TRAZAS DE: OTROS FRUTOS DE CÁSCARA Y CACAHUETE.",1974,,25,2,48,43,2,"Turrones José Garrigós, S.A.",473
7,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-de-mazapan-con-frutas-calidad-suprema-spar-250g/99981,Marzipan Nougat with Fruits Supreme Quality Spar 250g,2.75,Not Available,"MAZAPÁN (65%): [ALMENDRA, AZÚCAR, AGUA, JARABE DE GLUCOSA, CONSERVADOR (ÁCIDO SÓRBICO), AROMA DE LIMÓN], FRUTA CONFITADA (35%): [CALABAZA, AZÚCAR, JARABE DE GLUCOSA, CONSERVADOR (ÁCIDO SÓRBICO), ACIDULANTE (ÁCIDO CÍTRICO) COLORANTES (CLOROFILINA CUPROSÓDICA, LICOPENO)]. PUEDE CONTENER TRAZAS DE: SULFITOS, HUEVO, OTROS FRUTOS DE CÁSCARA, LECHE Y CACAHUETE.",1631,,16,1,52,47,3,"Turrones José Garrigós, S.A.",389
8,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/bandeja-seleccion-de-turrones-el-almendro-400g/128262,El Almendro Nougat Selection Tray 400g,10.35,Not Available,"Mini Turrones de chocolates surtidos:Azúcar, Manteca de cacao, Pasta de cacao, Almendras(9,8%), Leche entera en polvo, Pasta de avellana(6,5%), Mantequilla, Miel, Emulgentes:E-471 y Lecitina de soja y girasol,  Albúmina de Huevo, Aromas. Porciones de Turrón Duro:Almendra tostadas(60%), Miel(20%), Azúcar, Oblea(Fécula de patata , Aceite de girasol), Clara de huevo. Porciones de Turrón blando:Almendra seleccionadas tostadas(67%), Miel, Azúcar, Estabilizante E-471, Clara de huevo. Turrón Yema Tostada:Azúcar, Almendra(41%), Yema en polvo, Jarabe de glucosa, Agua, Conservador: E-200, Aroma. Turrón de chocolate:Azúcar, Manteca de cacao, Leche desnatada en polvo, Arroz hinchado(9%)(Harina de arroz, Azúcar, Dextrosa, Extracto de malta de cebada, Sal), Pasta de cacao, Pasta de avellana, Grasa vegetal (palma, girasol, cártamo y semillas de algodón), Leche en polvo, Pasta de almendras, Emulgente: Lecitina de soja y girasol, Aromas. Turrón de Chocolate con Almendras:Azúcar, Manteca de cacao, Pasta de cacao, Leche en polvo, Leche desnatada en polvo, Almendras tostadas(9%), Aceite de girasol, Pasta de Almendra , Emulgente: Lecitina de soja y girasol, Aromas. Puede contener trazas de otros frutos de cáscara y glutenPuede contener trazas de otros frutos de cáscara",2434,,39,15,50,38,7,"Delaviuda Confectionery Group, S.L.",584
9,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/palitos-de-turron-tradicional-el-almendro-136g/128255,Traditional Nougat Sticks El Almendro 136g,6.99,"136 gr 51,40 € / kg.","ALMENDRA (48%) (UE, No UE), miel, azúcar, oblea [fécula de patata, aceite de girasol]. Sal (0,3%), clara de HUEVO.  Puede contener CACAHUETES, SÉSAMO, LECHE, OTROS FRUTOS DE CÁSCARA  , SOJA.",2133,,2,51,51,5,28,Delaviuda Alimentación S.A.U.,511
10,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-jijona-etiqueta-negra-antiu-xixona-250gr/47243,Nougat Jijona Black Label Antiu Xixona 250gr,5.99,Not Available,"Almendra tostada (70%), miel (12%), azúcar, azúcar líquido invertido, clara de huevo. Trazas de otros frutos de cáscara y cacahuete.",2149,,39,3,31,31,5,SANCHIS MIRA S.A.,524
11,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-chips-ahoy-suchard-260gr/27074,Nougat Chips Ahoy Suchard 260gr,3.79,,"Ingredientes: Turrón [azúcar, frutos de cáscara (ALMENDRAS molidas, AVELLANAS molidas), manteca de cacao, pasta de cacao, LECHE desnatada en polvo, suero de LECHE en polvo, grasa de LECHE, emulgente (lecitina de SOJA), aroma natural], galleta 15% [harina de TRIGO, azúcar, grasa de palma, pasta de cacao, manteca de cacao, gasificantes (carbonato ácido de amonio, carbonato ácido de sodio, fosfato monocálcico), dextrosa, jarabe de glucosa y fructosa, sal, suero de LECHE en polvo, emulgentes (lecitina de SOJA, lecitina de girasol), aroma], arroz inflado 3,5% [harina de arroz, azúcar, sal, emulgente (E471)]. Con chocolate con leche.",525,,29,11,58,49,3,"Mondelez España Commercial, S.L.",2194
12,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-escriba-cheesecake-delaviuda-200g/131573,Nougat Praline Cheesecake Delaviuda 200g,9.99,"200 gr 49,95 € / kg.","Azúcar, manteca de cacao (No UE), pasta de frambuesa (19%) (UE) [puré de frambuesa, zumo concentrado de limón, zumo concentrado de cereza, jarabe de glucosa, azúcar, jarabe de azúcar invertido, aroma natural]. LECHE entera en polvo, aceite de girasol, LECHE desnatada en polvo, frambuesa liofilizada (2,0%) [jarabe de glucosa, frambuesa (UE)]. Emulgente (lecitinas de SOJA y girasol), aromas.  Puede contener CACAHUETES, HUEVO, GLUTEN , FRUTOS DE CÁSCARA.",2245,,33,16,54,51,1,Delaviuda Alimentación S.A.U.,538
13,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-pan-aceite-y-chocolate-albert-adria-vicens-250gr/47395,Nougat Bread Oil and Chocolate Albert Adrià Vicens 250gr,10.44,Not Available,"Chocolate negro (min. 60% cacao) (67%) (pasta de cacao, azúcar, manteca de cacao, emulgente: lecitina de soja, aroma natural de vainilla), pan (18%) (harina de trigo, agua, levadura, sal, aceite de oliva virgen extra, emulgente: E-472e, antioxidante: E-300, enzimas (trigo)), aceite de oliva virgen extra (14%), sal Maldon (0.6%), sal.",2200,,39,17,35,26,5,"Torrons Vicens, S.L.",530
14,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-duro-de-almendra-de-vicens/14786,Hard Almond Nougat by Vicens,12.34,,Not Available,2077,,34,2,32,29,12,"Torrons Vicens, S.L.",500
15,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-blando-de-almendra-sin-azucar-de-vicens/14782,Soft Almond Nougat without Sugar by Vicens,8.54,,"Almendra (64%), edulcorantes (maltitol y sorbitol) y clara de huevo. Un consumo excesivo puede producir efectos laxantes. Sin azúcares añadidos, contiene azúcares naturalmente presentes.Puede contener trazas de otros frutos de cáscara.",2194,,32,5,35,4,20,"Torrons Vicens, S.L.",527
16,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-duro-supremo-el-almendro-250g/57955, Nougat The Hard Almond Supreme,4.99,"250 gr 19,96 € / kg.","ALMENDRA (63%) (UE, No UE), miel (18,7%), azúcar, oblea [fécula de patata, aceite de girasol]. CLARA DE HUEVO.  Puede contener CACAHUETES, OTROS FRUTOS DE CÁSCARA .",2289,,36,3,38,29,7,Delaviuda Alimentación S.A.U.,550
17,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-de-chocolate-crujiente-clasico-el-almendro-250g/128265,Classic Crunchy Chocolate Nougat El Almendro 250g,3.7,"250 gr 14,80 € / kg.","Azúcar, manteca de cacao (No UE), LECHE desnatada en polvo, arroz hinchado (8,0%) [harina de arroz, azúcar, dextrosa, extracto de malta de CEBADA, sal]. Pasta de cacao (No UE), pasta de AVELLANA, ALMENDRA (5,0%), grasa vegetal (palma, girasol, cártamo y semillas de algodón), LECHE entera en polvo, pasta de ALMENDRA, emulgente (lecitinas de SOJA y girasol), aromas.  Puede contener CACAHUETES.",2319,,16,52,44,3,34,Delaviuda Alimentación S.A.U.,556
18,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-solidario-rac1-vicens-300g/34945,Solidarity Nougat Rac1 Vicens 300g,6.65,,"Chocolate con leche (mín. 36.5% de cacao) (azúcar, manteca de cacao, leche desnatada en polvo, pasta de cacao, lactosuero en polvo, materia grasa láctea anhidra, leche entera en polvo, emulgente: lecitina de soja, aroma, aroma natural de vainilla), avellana (24%), azúcar, chocolate negro (mín. 60% cacao) (pasta de cacao, azúcar, manteca de cacao, emulgente: lecitina de soja, aroma natural de vainilla), manteca de cacao, neulas (6%) (almidón de maíz, azúcar de caña, grasa vegetal de palma, harina de altramuz, emulgente: lecitina de soja, goma garrofín, vainilla en polvo, canela en polvo y jugo de limón), naranja confitada (4%) (naranja, sacarosa, fructosa, dextrosa, maltosa, conservante: sorbato potásico y E-223, acidulante: E-330), piel de naranja natural (1%), frambuesa, sal y canela. Decoración de chocolate (pasta de cacao, azúcar, manteca de cacao, aroma natural de vainilla, colorantes (E-171, E-172).",2267,,35,14,49,44,6,"Torrons Vicens, S.L.",544
19,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-blanco-cosecha-propia-el-almendro-300g/131591,White Nougat Own Harvest El Almendro 300g,11.99,"300 gr 39,97 € / kg.","ALMENDRAS tostadas (70%), miel (15%), azúcar, estabilizante (E471), CLARA DE HUEVO.  Puede contener CACAHUETES, OTROS FRUTOS DE CÁSCARA.",2374,,40,3,31,29,4,Delaviuda Alimentación S.A.U.,571
20,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-de-yema-quemada-sin-azucar-de-vicens/14781,Burnt Yeast Nougat without Sugar by Vicens,6.83,,"Almendra (52%), edulcorantes (maltitol, sorbitol, isomalt), yema de huevo (3%), clara de huevo, conservador: sorbato potásico, vainilla, colorante natural: betacaroteno. Un consumo excesivo puede producir efectos laxantes. Sin azúcares añadidos, contiene azúcares naturalmente presentes.",1967,,26,2,42,2,16,"Torrons Vicens, S.L.",471
21,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-blando-de-crujiente-de-almendra-con-chocolate-vicens-300gr/56700, Soft Almond Crispy Nougat with Chocolate Vicens 300gr,9.21,Not Available,"Turrón blando (84%): Almendra(66%), azúcar, jarabe de glucosa, miel, clara de huevo. Cereales crujientes (4%):harina de arroz, azúcar, bicarbonato sódico, sal, aroma de vainilla natural. Cobertura chocolate (min. 60% cacao) (12%): azúcar, pasta de cacao, manteca de cacao, emulgente: lecitina de soja, aroma natural de vainilla.  Puede contener trazas de avellana, nuez, pistacho y leche.",2256,,35,6,39,28,14,"Torrons Vicens, S.L.",542
22,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-de-alicante-calidad-suprema-spar-250g/99978,Alicante Nougat Supreme Quality Spar 250g,2.99,"250 gr 11,96 € / kg.",Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
23,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-de-yema-tostada-de-vicens/14785,Toasted Yolk Nougat by Vicens,11.39,,Not Available,2075,,27,2,51,46,9,"Torrons Vicens, S.L.",497
24,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-sacher-albert-adria-vicens-300gr/104944,Sacher Albert Adrià Vicens nougat 300gr,10.44,,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
25,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-blando-sin-azucar-calidad-suprema-spar-200g/99982,Soft Sugar Free Nougat Supreme Quality Spar 200g,2.74,"200 gr 13,70 € / kg.",Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-blando-de-almendra-vicens/14787,Soft Nougat Almond Vicens,11.39,,Not Available,2087,,36,2,29,27,12,"Torrons Vicens, S.L.",502
27,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-vicens-a-la-sal-chocolate/21148,Vicens Nougat with Chocolate Salt,8.54,,Not Available,2028,,26,8,47,25,14,"Torrons Vicens, S.L.",485
28,Especial Nadal,Torrons i Dolços de Nadal,https://www.ulabox.com/en/product/turron-clasico-crujiente-suchard-260gr/21266,Classic Nougat Crunchy Suchard 260gr,3.67,Not Available,"Ingredientes: Azúcar, frutos de cáscara (ALMENDRAS molidas, AVELLANAS molidas), manteca de cacao, arroz inflado 9% [harina de arroz, azúcar, sal, emulgente (E471)], pasta de cacao, LECHE desnatada en polvo, suero de LECHE en polvo, grasa de LECHE, emulgente (lecitina de SOJA), aroma natural. Con chocolate con leche.Puede contener trigo.",2179,,28,10,58,50,3,"Mondelez España Commercial, S.L.",521
